	PRESF	PASTF	LEMMAF	 REG	NULL	X->{	X->$t	5->u	g5->wEnt
TINk->T$t	5476	4426	35874	0	0	0	1	0	0
jun2t->ju-n2-tId	24	3358	150	1	0	0	0	0	0
g5->wEnt	5001	3099	52264	0	0	0	0	0	1
sEt->sEt	2527	2527	8031	0	1	0	0	0	0
k@ns3n->k@n-s3nd	1187	2452	1753	1	0	0	0	0	0
juz->juzd	5046	2253	20674	1	0	0	0	0	0
n5->nju	6088	2038	38013	0	0	0	0	1	0
Intr@st->In-tr@-stId	3825	1838	5286	1	0	0	0	0	0
lUk->lUkt	4710	1824	26959	1	0	0	0	0	0
{sk->{skt	1013	1677	14651	1	0	0	0	0	0
bIgIn->bI-g{n	533	1598	12254	0	0	1	0	0	0
prIp1r->prI-p1rd	119	1567	1423	1	0	0	0	0	0
k$l->k$ld	1582	1498	13488	1	0	0	0	0	0
sim->simd	987	1492	15911	1	0	0	0	0	0
pUt->pUt	1367	1367	14426	0	1	0	0	0	0
m{rI->m{-rId	202	1232	2245	1	0	0	0	0	0
wQnt->wQn-tId	2925	1200	20077	1	0	0	0	0	0
t23->t2-3d	17	1180	138	1	0	0	0	0	0
t3n->t3nd	2324	1163	12234	1	0	0	0	0	0
s@pr2z->s@-pr2zd	1023	1080	1359	1	0	0	0	0	0
kl5z->kl5zd	3198	1070	6342	1	0	0	0	0	0
str2k->str2k	1027	1027	3156	0	1	0	0	0	0
lImIt->lI-mI-tId	459	968	1514	1	0	0	0	0	0
brIN->br$t	813	892	9176	0	0	0	1	0	0
dIt3mIn->dI-t3-mInd	111	889	927	1	0	0	0	0	0
wVrI->wV-rId	547	849	2122	1	0	0	0	0	0
pr@v2d->pr@-v2-dId	526	846	4664	1	0	0	0	0	0
InvQlv->In-vQlvd	121	844	3779	1	0	0	0	0	0
pliz->plizd	2119	843	2411	1	0	0	0	0	0
@dv{ns->@d-v{nst	779	825	1465	1	0	0	0	0	0
J1n_->J1n_d	2773	821	12027	1	0	0	0	0	0
sIt->s{t	537	817	8969	0	0	1	0	0	0
fIks->fIkst	113	792	773	1	0	0	0	0	0
lEt->lEt	782	782	7732	0	1	0	0	0	0
rIl1t->rI-l1-tId	66	765	666	1	0	0	0	0	0
tr2->tr2d	1201	760	13376	1	0	0	0	0	0
1_->1_d	4437	727	5357	1	0	0	0	0	0
stQrt->stQr-tId	1594	726	8948	1	0	0	0	0	0
fr2t@n->fr2-t@nd	26	699	392	1	0	0	0	0	0
h{p@n->h{-p@nd	518	688	7838	1	0	0	0	0	0
k@nvIns->k@n-vInst	74	661	548	1	0	0	0	0	0
dIs2d->dI-s2-dId	284	638	4479	1	0	0	0	0	0
$g@n2z->$-g@-n2zd	97	637	1118	1	0	0	0	0	0
muv->muvd	1574	628	8812	1	0	0	0	0	0
Qrm->Qrmd	1869	609	3866	1	0	0	0	0	0
kQmplIk1t->kQm-plI-k1-tId	9	597	134	1	0	0	0	0	0
kVl3->kV-l3d	1487	593	2094	1	0	0	0	0	0
rEd->rEd	583	583	6689	0	1	0	0	0	0
kVt->kVt	580	580	4085	0	1	0	0	0	0
r2t->r5t	568	575	8317	1	0	0	0	0	0
dIpEnd->dI-pEnd	572	572	572	0	1	0	0	0	0
mIks->mIkst	189	560	1033	1	0	0	0	0	0
w$k->w$kt	1126	552	6517	1	0	0	0	0	0
nid->ni-dId	4337	551	14133	1	0	0	0	0	0
stQp->stQpt	1071	521	6408	1	0	0	0	0	0
w3k->w3kt	12690	520	22439	1	0	0	0	0	0
bEl->bEl	507	507	759	0	1	0	0	0	0
mQrk->mQrkt	607	503	1864	1	0	0	0	0	0
rVn->r{n	1613	498	9212	0	0	1	0	0	0
p{s->p{st	715	498	5182	1	0	0	0	0	0
dit1l->di-t1ld	884	498	2019	1	0	0	0	0	0
riJ->riJt	636	497	4952	1	0	0	0	0	0
lIv->lIvd	1171	496	9538	1	0	0	0	0	0
IkspEkt->Ik-spEk-tId	508	493	5095	1	0	0	0	0	0
fInIS->fI-nISt	191	487	2303	1	0	0	0	0	0
5p@n->5-p@nd	4655	481	8564	1	0	0	0	0	0
@l6->@-l6d	393	474	4744	1	0	0	0	0	0
fQl5->fQ-l5d	395	469	5305	1	0	0	0	0	0
sprEd->sprEd	469	469	1926	0	1	0	0	0	0
p1->p1d	1155	457	6675	1	0	0	0	0	0
k{rI->k{-rId	443	452	5596	1	0	0	0	0	0
d2->d2d	360	451	4279	1	0	0	0	0	0
@l2->@-l2d	103	446	543	1	0	0	0	0	0
Iks2t->Ik-s2-tId	14	441	207	1	0	0	0	0	0
@pir->@-pird	428	440	5226	1	0	0	0	0	0
k{st->k{st	439	439	1149	0	1	0	0	0	0
kr6d->kr6-dId	870	433	1277	1	0	0	0	0	0
k@ntInju->k@n-tI-njud	391	420	4702	1	0	0	0	0	0
s@p5z->s@-p5zd	914	419	4352	1	0	0	0	0	0
p4nt->p4n-tId	6787	415	10145	1	0	0	0	0	0
sEt@l->sE-t@ld	137	413	1445	1	0	0	0	0	0
k@mIt->k@-mI-tId	75	411	958	1	0	0	0	0	0
pl1->pl1d	2722	408	9706	1	0	0	0	0	0
VpsEt->Vp-sEt	402	402	803	0	1	0	0	0	0
k@nsId3->k@n-sI-d3d	372	400	3730	1	0	0	0	0	0
k{J->k$t	404	396	3642	0	0	0	1	0	0
